gauge_id;gauge_name;gauge_lat;gauge_lon;area_km2;mean_elev;max_elev;min_elev;p_mean_cr2met_1979_2010;aridity_cr2met_1979_2010;runoff_ratio_cr2met_1979_2010;hfd_mean;Regimen_Natural_Calidad;Proyecto_DGA;Para_Transferir;Observaciones;Considerar
3414001;Rio Pulido En Vertedero;-28.0858;-69.9408;2021.79817988457;3566.13950219379;5781;1295;130.682608561695;6.04835374469028;20.3388951015802;0.542778918548939;SI;;;;1
3421001;Rio Manflas En Vertedero;-28.1478;-69.9939;981.573250240201;3564.50645407003;5680;1457;153.778081544829;4.99399421853459;12.4873168386389;0.450224351661722;SI;;;no nival;1
3430003;Rio Copiapo En Pastillo;-28.0003;-69.9747;7463.87992762144;3650.18562743056;5994;1136;101.058572622256;7.93080678598357;;0.460985626283368;;SI;;;1
3820001;Rio Huasco En Algodones;-28.7306;-70.5067;7199.71059273126;3393.95083632284;6113;717;123.38986125669;6.35239976711913;;0.428302532511978;;SI;;;1
4302001;Rio Toro Antes Junta Rio La Laguna;-29.9711;-70.0928;467.386726857127;3904.56940350207;6114;2104;139.641334880359;4.62501029280992;;0.531719442343023;SI;;;;1
4311001;Estero Derecho En Alcohuaz;-30.2206;-70.4928;338.242154586402;3544.44867261154;5540;1647;245.633727608688;2.80735851065468;52.8123251122442;0.493634496919918;SI;;;;1
4313001;Rio Cochiguaz En El PeÑOn;-30.1222;-70.4344;675.348038873011;3510.75799334852;5275;1338;195.73757796492;3.61248928851345;73.1589188973513;0.522518822724162;SI;;;;1
4320001;Rio Elqui En Algarrobal;-29.9953;-70.5867;5669.71378017899;3417.68640776713;6196;768;164.401702572417;4.49822686867416;39.9784912574423;0.538535249828884;;SI;;;1
4501001;Rio Hurtado En San Agustin;-30.4622;-70.5361;672.360084377301;3723.66943097885;5539;2031;278.492109469286;1.98853145987245;56.5933345934348;0.513563168702042;;SI;;;1
4503001;Rio Hurtado En Angostura De Pangue;-30.4386;-71.0022;1837.30266707536;2554.18539357744;5539;488;246.413305834905;3.70840004378835;23.4065795788992;0.397596775420183;SI;;;;1
4511002;Rio Grande En Las Ramadas;-31.0117;-70.5811;568.53004384793;3097.57828972609;4373;1377;323.637041443397;2.37358154857726;84.7749135179055;0.528952772073922;SI;SI;;;1
4513001;Rio Grande En Cuyano;-30.9242;-70.7731;1286.60811567017;2726.14636977373;4373;871;315.803512507985;2.8940281022145;65.8911432494214;0.498288843258042;SI;;;;1
